鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
文山區,房地(土地+建物),臺北市文山區試院路１５４巷２弄２３號,25.36,都市：其他:第二種住宅區。,,,1100911,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750321,82.19,6,1,2,有,無,8800000,107069,,0.0,0,陽台外推；其他增建；,RPWOMLOJJIGGFAA37DA,66.34,4.06,6.91,無,
文山區,房地(土地+建物)+車位,臺北市文山區萬芳路１０７巷８號十樓,42.56,都市：其他:第三種住宅區。,,,1101030,土地1建物1車位2,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010919,262.14,4,2,2,有,有,43880000,167391,坡道平面,68.34,0,其他增建；,RPUNMLKKJIGGFAA76DA,114.34,12.62,8.31,有,001
文山區,房地(土地+建物)+車位,臺北市文山區萬芳路３號四樓之２,16.28,都市：其他:第三種住宅區。,,,1101021,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881124,68.39,1,1,1,有,有,10700000,202109,升降機械,22.87,1500000,陽台外推；其他增建；,RPWOMLNLJIGGFAA47DA,31.59,0.0,4.9,有,
文山區,房地(土地+建物),臺北市文山區木柵路一段３號五樓之１,20.24,都市：其他:第二種住宅區。,,,1101025,土地1建物1車位0,一層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720309,132.25,8,0,8,有,有,22000000,166352,,0.0,0,,RPTNMLQLJIGGFAA37DA,98.76,14.76,0.0,有,002
文山區,房地(土地+建物)+車位,臺北市文山區辛亥路五段５２號九樓,17.93,都市：其他:第三種住宅區。,,,1101113,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1060823,87.03,1,1,1,有,有,16900000,194186,坡道機械,13.57,0,夾層；其他增建；,RPSNMLTLJIGGFAA57DA,36.38,4.44,4.36,有,003
中正區,房地(土地+建物),臺北市中正區南昌路一段１２５巷１４號三樓,41.99,都市：其他:第四種住宅區。,,,1101108,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741004,114.91,2,2,2,有,無,26450000,230180,,0.0,0,陽台外推；,RPTOMLSJKIGGFAA57DA,99.06,0.0,15.85,無,
文山區,房地(土地+建物),臺北市文山區指南路三段３４巷１２之１號,641.0,都市：其他:保護區。,,,1101031,土地3建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0841009,200.73,3,2,4,有,無,35000000,174364,,0.0,0,,RPXOMLSJKIGGFAA97DA,169.11,31.62,0.0,無,
文山區,房地(土地+建物)+車位,臺北市文山區景豐街４８巷２３號三樓,91.59,都市：其他:第二種住宅區。,,,1101126,土地2建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010711,251.31,4,2,3,有,有,48500000,192989,坡道平面,25.3,0,,RPOQMLSJKIGGFAA27DA,136.51,5.53,15.6,有,
文山區,房地(土地+建物),臺北市文山區仙岩路２２巷２１號八樓,28.44,都市：其他:第三種住宅區。,,,1101103,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840411,124.25,3,2,2,有,有,23300000,187525,,0.0,0,陽台外推；,RPTNMLTJKIGGFAA57DA,92.47,1.14,10.42,有,
中正區,房地(土地+建物)+車位,臺北市中正區詔安街８８號二樓,25.96,都市：其他:第三種住宅區。,,,1101112,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060218,133.01,3,2,2,有,有,28800000,253956,塔式車位,27.48,2000000,陽台外推；其他增建；,RPXNMLTJKIGGFAA97DA,58.24,6.07,7.2,有,004
文山區,房地(土地+建物)+車位,臺北市文山區政大二街１７９號,108.04,都市：其他:第二種住宅區。,,,1100907,土地1建物1車位1,全,三層,透天厝,住家用,鋼筋混凝土造,0841215,212.43,4,3,2,有,有,25500000,120040,坡道平面,0.0,0,,RPQOMLTJKIGGFAA37DA,133.61,8.74,9.46,無,
中正區,房地(土地+建物),臺北市中正區寧波西街６３號三樓,15.5,商,,,1101122,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,53.49,1,1,1,有,無,13900000,259862,,0.0,0,,RPOOMLSJKIGGFAA07DA,53.49,0.0,0.0,無,
中正區,車位,臺北市中正區南昌路一段１０８之２號,0.58,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1101112,土地1建物1車位1,一層,十五層,其他,一般零售業甲組,鋼筋混凝土造,0980403,21.88,0,0,0,有,有,1250000,,塔式車位,21.88,1250000,僅車位交易；,RPTNMLKKKIGGFAA76DA,0.0,0.0,0.0,有,005
大同區,房地(土地+建物),臺北市大同區民權西路１２２號三樓之１,3.39,都市：其他:第三種商業區。,,,1101018,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970623,40.25,1,1,1,有,有,9000000,223602,,0.0,0,陽台外推；夾層；其他增建；,RPRNMLTKJIGGFBA47DA,22.85,1.23,3.29,有,006
大同區,房地(土地+建物)+車位,臺北市大同區南京西路２８８號十二樓,14.25,都市：其他:第三種商業區。,,,1100925,土地1建物1車位1,十二層,十九層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1011214,198.1,3,2,2,有,有,41800000,239104,坡道平面,32.9,2300000,夾層；其他增建；,RPTOMLTKJIGGFBA77DA,98.54,8.44,7.01,有,007
大同區,房地(土地+建物),臺北市大同區敦煌路１４２號三樓,26.74,都市：其他:第三種住宅區。,,,1101117,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720126,93.61,2,1,1,有,無,8000000,85461,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXOMLPKJIGGFBA77DA,81.16,0.0,12.45,無,
萬華區,房地(土地+建物),臺北市萬華區中華路一段８０號八樓之２,1.79,商,,,1101125,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0700716,17.21,1,0,1,有,有,2800000,162696,,0.0,0,,RPXNMLMJKIGGFBA37DA,13.71,0.0,0.0,有,
萬華區,房地(土地+建物),臺北市萬華區西藏路５０２號三樓,23.5,都市：其他:第壹種商業區(依都市計畫說明書圖規定辦理，始得作第壹種商業區使用)(原屬第參之壹種住宅區)。,,,1101031,土地3建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650528,70.59,3,1,1,有,無,9500000,134580,,0.0,0,,RPVNMLQJKIGGFBA57DA,64.52,0.0,6.07,無,
萬華區,房地(土地+建物),臺北市萬華區雙園街４９巷７號,83.0,都市：其他:道路用地(公共設施用地)。62/8/29,,,1100917,土地2建物1車位0,全,二層,透天厝,,加強磚造,,94.94,4,2,2,有,無,16880000,177797,,0.0,0,其他增建；,RPXNMLRJKIGGFBA87DA,94.94,0.0,0.0,無,
萬華區,房地(土地+建物),臺北市萬華區興寧街６６巷２弄２６號二樓,27.98,都市：其他:第三種住宅區。,,,1101107,土地5建物1車位0,二層,五層,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,0700115,80.04,3,2,1,有,無,11000000,137431,,0.0,0,陽台外推；,RPRPMLRJKIGGFBA47DA,71.57,0.0,8.47,無,
萬華區,房地(土地+建物),臺北市萬華區環河南路二段１００巷２７弄２號,7.97,都市：其他:第四種住宅區。,,,1101130,土地1建物1車位0,一層，二層,五層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0720919,29.78,0,0,0,無,無,2500000,83949,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPPPMLTJKIGGFBA47DA,24.46,1.19,1.19,無,
中正區,車位,臺北市中正區忠孝東路一段４７號之２,0.08,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1101124,土地2建物1車位1,一層,十四層,其他,一般零售業甲組,鋼筋混凝土造,0960511,7.909999999999999,0,0,0,有,有,2600000,,塔式車位,0.0,2600000,僅車位交易；,RPUPMLTJKIGGFBA97DA,0.0,0.0,0.0,有,008
萬華區,房地(土地+建物)+車位,臺北市萬華區西藏路１２３號十四樓,40.47,都市：其他:第三種住宅區。,,,1101031,土地2建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000908,189.85000000000002,3,2,2,有,有,34000000,179089,坡道平面,0.0,0,,RPTNMLKKKIGGFBA86DA,102.55,0.0,12.96,有,
中山區,房地(土地+建物),臺北市中山區民權西路６３號十樓,17.88,都市：其他:第三種商業區。,,,1100925,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061031,225.82999999999998,0,0,0,無,有,78400000,347164,,0.0,0,毛胚屋；,RPSOMLRLRHGGFCA38DA,136.6,6.96,8.06,有,
中山區,房地(土地+建物)+車位,臺北市中山區民權西路６３號十樓之１,10.64,都市：其他:第三種商業區。,,,1100925,土地1建物1車位5,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061031,270.49,0,0,0,無,有,60700000,347165,坡道平面,137.7,14600000,毛胚屋；,SPSOMLRLRHGGFCA48DA,75.85,1.19,12.25,有,
中山區,房地(土地+建物),臺北市中山區民權東路一段６３號七樓,17.45,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1101030,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0690610,174.94,2,2,2,有,有,33600000,192066,,0.0,0,其他增建；,RPPNMLKMIIGGFCA56DA,138.26,0.0,7.8,有,
內湖區,土地,康寧段四小段30地號,24.29,住,,,1101029,土地10建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20580000,847262,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；具重建或重劃、都更等效益；,RPWRMLMJJIGGFCA67DA,0.0,0.0,0.0,無,
內湖區,房地(土地+建物),臺北市內湖區金龍路２３６號五樓,27.44,都市：其他:第三種住宅區。,,,1101019,土地4建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721107,107.91000000000001,3,2,1,有,無,14200000,131591,,0.0,0,陽台外推；頂樓加蓋；,RPPPMLPJJIGGFCA07DA,86.15,0.0,14.53,無,009
內湖區,房地(土地+建物),臺北市內湖區內湖路一段９１巷３９弄１５號三樓,18.49,都市：其他:第三種住宅區。,,,1100822,土地3建物2車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741218,98.78999999999999,3,2,1,有,無,13280000,134427,,0.0,0,其他增建；,RPRQMLQKJIGGFCA57DA,79.45,0.0,8.4,無,
內湖區,房地(土地+建物),臺北市內湖區港華街５１巷１０號五樓,44.94,都市：其他:第三種住宅區。,,,1101015,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740618,125.04,3,2,2,有,無,19500000,155950,,0.0,0,陽台外推；,RPVPMLSKJIGGFCA08DA,105.23,0.0,11.19,無,
內湖區,房地(土地+建物),臺北市內湖區文湖街２１巷７號五樓,43.84,都市：其他:第三種住宅區。,,,1101106,土地5建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780221,134.04,4,2,3,有,無,22000000,164130,,0.0,0,其他增建；,RPQQMLTKJIGGFCA77DA,110.93,0.0,11.24,無,
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段２８０巷４６號二樓,39.4,都市：其他:第三種住宅區。,,,1100918,土地2建物1車位2,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980122,277.86,4,2,3,有,有,55880000,201108,坡道平面,0.0,5500000,其他增建；,RPVQMLKMJIGGFCA57DA,155.27,10.3,13.43,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區康樂街７２巷１７弄２９號七樓,26.42,都市：其他:第三種住宅區。,,,1101025,土地1建物1車位1,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871020,113.29,2,2,1,有,有,17160000,151470,坡道平面,30.45,0,夾層；,RPUTMLKMJIGGFCA77DA,58.56,0.84,5.97,有,
中山區,房地(土地+建物),臺北市中山區新生北路三段５８號二樓之４,6.41,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1101124,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0711209,66.03999999999999,2,1,1,有,有,10500000,158995,,0.0,0,,RPPQMLLJKIGGFCA86DA,40.03,0.0,6.77,有,010
中山區,房地(土地+建物),臺北市中山區林森北路１０７巷５９號三樓,28.75,商,,,1101111,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,79.78,2,2,1,有,無,12750000,159814,,0.0,0,其他增建；,RPQPMLQJKIGGFCA37DA,79.78,0.0,0.0,無,011
中山區,房地(土地+建物),臺北市中山區雙城街３７巷３號六樓,21.47,商,,,1101123,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790724,105.65,3,2,2,有,有,20000000,189304,,0.0,0,,RPTQMLRJKIGGFCA87DA,88.48,10.72,0.0,有,
中山區,房地(土地+建物),臺北市中山區復興北路４４８號十一樓,8.25,都市：其他:第三之一種住宅區。,,,1101116,土地2建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971015,47.43,1,1,1,有,有,12300000,259330,,0.0,0,,RPRNMLSJKIGGFCA47DA,25.86,1.47,4.23,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區康樂街１９９號四樓之１,54.85,都市：其他:第二種住宅區。,,,1101030,土地1建物1車位1,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1010204,148.23,3,2,1,有,無,19000000,128179,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXOMLSJKIGGFCA18DA,64.76,4.88,7.77,無,
內湖區,房地(土地+建物),臺北市內湖區民權東路六段２８０巷４５弄３９號三樓之２,10.03,都市：其他:第三種住宅區。,,,1101110,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831221,36.9,2,1,1,有,有,7820000,211924,,0.0,0,,RPTOMLSJKIGGFCA77DA,22.85,0.0,4.28,有,012
中山區,房地(土地+建物),臺北市中山區合江街１４４巷１６號四樓,35.25,都市：其他:第三種住宅區。,,,1101107,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0590303,98.61,3,2,2,有,無,15200000,154143,,0.0,0,,RPSPMLTJKIGGFCA87DA,86.15,0.0,12.46,無,
內湖區,房地(土地+建物)+車位,臺北市內湖區文湖街２１巷１１８弄３２號三樓之１,25.85,都市：其他:第三種住宅區。,,,1101110,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010426,139.1,2,1,1,有,有,18100000,130122,坡道平面,48.75,0,,RPUOMLTJKIGGFCA97DA,57.53,0.0,8.36,有,
內湖區,房地(土地+建物),臺北市內湖區成功路四段１６７巷６弄１號五樓,32.95,都市：其他:第三種住宅區。,,,1101107,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690421,124.93,7,0,7,有,無,24500000,196110,,0.0,0,頂樓加蓋；,RPPPMLTJKIGGFCA57DA,99.19,0.0,13.82,無,013
內湖區,房地(土地+建物)+車位,臺北市內湖區江南街１１１號八樓之６,30.28,都市：其他:第三種住宅區。,,,1101014,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940412,164.12,3,2,2,有,有,33900000,241334,坡道平面,34.01,2500000,,RPPQMLKKKIGGFCA86DA,70.18,4.71,6.63,有,
信義區,房地(土地+建物)+車位,臺北市信義區松德路２００巷５３號二樓,121.21,都市：其他:住宅區(信義計畫特定專用區)。,,,1100130,土地1建物1車位3,二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1061128,704.94,0,0,0,無,無,349680000,609984,坡道平面,156.27,15000000,,RPWNMLRLIIGGFDA97DA,296.15,2.45,37.42,有,
信義區,房地(土地+建物),臺北市信義區虎林街２４２巷５０號四樓,37.5,都市：其他:第三種住宅區。,,,1100915,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0580409,101.59,2,2,1,有,無,19000000,187026,,0.0,0,,RPRNMLKKJIGGFDA76DA,87.43,0.0,14.16,無,014
松山區,房地(土地+建物),臺北市松山區長安東路二段２１９號七樓之９,6.74,住,,,1101031,土地2建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0730913,57.77,1,1,1,有,有,13600000,235416,,0.0,0,其他增建；,RPVOMLSKJIGGFDA08DA,43.24,0.0,0.0,有,
南港區,房地(土地+建物),臺北市南港區東新街１８０巷１１號地下一層之２,15.01,都市：其他:第二種住宅區。,,,1101109,土地1建物1車位0,地下一層,十二層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,0920107,52.85,1,1,1,有,有,7400000,140019,,0.0,0,,RPXPMLMLJIGGFDA87DA,33.38,0.0,0.0,有,
信義區,房地(土地+建物),臺北市信義區林口街２４巷１０號三樓,35.75,都市：其他:第三種住宅區。,,,1101119,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,67.65,3,1,1,有,無,8400000,124169,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；陽台外推；,RPQNMLRLJIGGFDA47DA,67.65,0.0,0.0,無,
南港區,房地(土地+建物)+車位,臺北市南港區舊莊街一段２１２巷１８號四樓,36.61,都市：其他:第二種住宅區。,,,1101113,土地2建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050325,90.74000000000001,1,1,2,有,有,11200000,123430,坡道機械,25.3,0,,RPWNMLTLJIGGFDA28DA,36.24,0.0,2.96,有,
信義區,房地(土地+建物)+車位,臺北市信義區中坡南路２０１巷１８之３號二樓,14.81,都市：其他:第三種住宅區。,,,1101106,土地1建物1車位1,二層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100423,140.37,2,2,1,有,有,27000000,226787,坡道平面,32.78,2600000,,RPQRMLTLJIGGFDA08DA,55.65,10.22,5.2,有,
南港區,房地(土地+建物),臺北市南港區園區街１７號三樓,18.01,都市：其他:住宅區(供住宅使用)。,,,1101120,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951116,89.69,2,2,1,有,有,24880000,277400,,0.0,0,其他增建；,RPVOMLKMJIGGFDA47DA,54.26,1.12,3.74,有,
南港區,房地(土地+建物)+車位,臺北市南港區南港路二段１４２號七樓之３,24.32,都市：其他:第三種住宅區。,,,1101106,土地1建物1車位1,七層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831221,141.11,2,2,1,有,有,25500000,180697,坡道平面,0.0,0,,RPQNMLLJKIGGFDA76DA,115.04,1.34,7.3,有,015
南港區,車位,臺北市南港區重陽路５７巷６７號等共用部分,0.0,,,,1101202,土地0建物1車位1,,,其他,,,,35.92,0,0,0,有,無,2450000,,坡道平面,0.0,2450000,僅車位交易；,RPWPMLMJKIGGFDA67DA,0.0,0.0,0.0,無,016
信義區,房地(土地+建物),臺北市信義區中坡南路１３４號,5.37,都市：其他:市場用地(公共設施用地)。58/4/12,,,1101012,土地3建物1車位0,一層,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0680223,17.55,0,0,0,無,無,6000000,341880,,0.0,0,含土地增值稅或其他稅費；含仲介費；夾層；其他增建；包含公共設施保留地用地；,RPUSMLNJKIGGFDA87DA,17.55,0.0,0.0,無,
信義區,房地(土地+建物)+車位,臺北市信義區基隆路二段１７９號四樓之２,9.2,都市：其他:第三種住宅區。,,,1101124,土地2建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990901,142.68,2,2,1,有,有,31000000,217269,坡道平面,0.0,0,其他增建；,RPUTMLNJKIGGFDA97DA,55.75,3.39,5.68,有,
信義區,房地(土地+建物),臺北市信義區信義路五段１１１號八樓之８,8.86,都市：其他:特定業務區(信義計畫特定專用區)。,,,1101122,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860926,50.04,1,1,1,有,有,13000000,259792,,0.0,0,含租約；,RPSNMLRJKIGGFDA57DA,29.77,1.37,3.94,有,017
信義區,房地(土地+建物),臺北市信義區吳興街３６１巷３３弄１號二樓,44.75,都市：其他:第三種住宅區。,,,1101117,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,74.98,3,0,3,有,無,11000000,146706,,0.0,0,含土地增值稅或其他稅費；親友、員工、共有人或其他特殊關係間之交易；,RPTNMLRJKIGGFDA67DA,74.98,0.0,0.0,無,
信義區,土地,福德段三小段763地號,6.83,都市：其他:道路用地(公共設施用地)。51/9/1,,,1101126,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,589493,86309,,0.0,0,,RPSOMLSJKIGGFDA77DA,0.0,0.0,0.0,無,018
松山區,房地(土地+建物),臺北市松山區健康路３２５巷３６號三樓,27.49,都市：其他:第三種住宅區。,,,1101018,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810114,121.67999999999999,5,0,2,有,有,26000000,213675,,0.0,0,,RPQRMLSJKIGGFDA87DA,86.25,0.0,8.77,有,
松山區,房地(土地+建物),臺北市松山區八德路三段１５８巷２０弄４０號二樓之４,6.46,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1101010,土地2建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0681124,32.87,1,1,1,有,有,6900000,209918,,0.0,0,,RPPNMLTJKIGGFDA47DA,27.72,0.0,2.96,有,
信義區,房地(土地+建物),臺北市信義區基隆路一段１４１號九樓之５,9.19,都市：其他:第二種商業區及第三種住宅區 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,,,1100924,土地1建物1車位0,九層,十三層,住宅大樓(11層含以上有電梯),辦公用,鋼骨造,0950126,153.47,3,1,1,有,有,40000000,260637,,0.0,0,其他增建；,RPUNMLTJKIGGFDA97DA,89.27,0.0,6.46,有,
北投區,房地(土地+建物),臺北市北投區奇岩路２４１巷７弄１０號三樓,134.24,都市：其他:第二種住宅區。,,,1100908,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1081223,227.52,3,1,2,有,有,37680000,165612,,0.0,0,,RPXNMLPJIIGGFEA77DA,118.81,3.19,23.68,有,
士林區,房地(土地+建物),臺北市士林區天玉街３８巷１６弄８號三樓,34.6,都市：其他:第三種住宅區。,,,1101006,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680906,104.53,3,2,2,有,無,19650000,187984,,0.0,0,其他增建；,RPPPMLQJIIGGFEA27DA,89.17,0.0,15.36,無,019
北投區,車位,三合街一段６３號二樓等共有部分,1.66,都市：其他:第三種住宅區。,,,1101106,土地1建物1車位1,,,其他,,,,40.49,0,0,0,有,有,2600000,,坡道平面,40.49,2600000,僅車位交易；,RPUOMLQKJIGGFEA87DA,0.0,0.0,0.0,有,016
士林區,房地(土地+建物),臺北市士林區中山北路五段７０４巷２１號五樓,36.2,都市：其他:第三種住宅區。,,,1101104,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670626,136.73,8,3,3,有,無,20600000,150662,,0.0,0,頂樓加蓋；其他增建；,RPTOMLSKJIGGFEA97DA,112.94,0.0,13.01,無,
士林區,房地(土地+建物),臺北市士林區德行東路２６５巷６號五樓,34.02,都市：其他:第三種住宅區。,,,1101107,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730813,120.11,3,2,2,有,無,22500000,187328,,0.0,0,陽台外推；頂樓加蓋；其他增建；,RPOPMLSKJIGGFEA57DA,95.33,0.0,10.18,無,
北投區,房地(土地+建物)+車位,臺北市北投區中央南路二段２８號八樓之５,13.71,都市：其他:第參種工業區(不得作住宅使用)。,,,1101114,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0970523,109.22,2,2,1,有,有,14650000,134133,坡道平面,25.72,0,陽台外推；其他增建；,RPPPMLSKJIGGFEA67DA,45.56,0.0,7.96,有,
士林區,房地(土地+建物),臺北市士林區忠誠路一段９１之２號,29.19,都市：其他:第三種住宅區。,,,1100722,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0721221,126.52000000000001,2,2,2,有,有,26500000,209453,,0.0,0,其他增建；,RPSNMLNLJIGGFEA37DA,97.8,7.21,0.0,有,
士林區,房地(土地+建物),臺北市士林區天母西路１８之９號四樓,28.26,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1101106,土地5建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0680502,131.36,3,2,2,有,有,29500000,224574,,0.0,0,陽台外推；其他增建；,RPPPMLPLJIGGFEA47DA,100.77,0.0,13.74,有,021
士林區,房地(土地+建物)+車位,臺北市士林區通河街１７號五樓,17.4,都市：其他:第三種住宅區。,,,1101114,土地1建物1車位1,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1011112,128.03,2,2,1,有,有,22280000,174022,升降平面,34.12,0,夾層；,RPVNMLKMJIGGFEA47DA,42.94,2.18,5.17,有,
北投區,房地(土地+建物)+車位,臺北市北投區福美路２２５號六樓,46.79,都市：其他:市民住宅區。,,,1101113,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061117,188.07,3,2,2,有,有,28000000,176593,坡道平面,43.67,2500000,,RPSOMLKMJIGGFEA27DA,96.65,1.28,15.53,有,022
北投區,房地(土地+建物)+車位,臺北市北投區大興街３２號十一樓,47.26,都市：其他:第三種住宅區。,,,1101108,土地1建物1車位2,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011130,344.61,4,2,3,有,有,58800000,170628,坡道平面,0.0,0,陽台外推；其他增建；,RPSPMLMJKIGGFEA37DA,161.81,14.61,11.43,有,023
