鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
大安區,房地(土地+建物),臺北市大安區和平東路三段３０８巷３１弄４號二樓,28.4,都市：其他:第三種住宅區。,,,1101011,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670508,101.25,3,2,2,有,無,18020000,177975,,0.0,0,其他增建；,RPUNMLMKJIGGFFA47DA,93.03,0.0,8.22,無,
大安區,房地(土地+建物),臺北市大安區復興南路一段３５２號十樓之１,11.96,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1101114,土地1建物1車位0,十層，陽台,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.77,3,2,2,有,有,38000000,290587,,0.0,0,陽台外推；其他增建；,RPSNMLPLJIGGFFA67DA,110.34,0.0,0.0,有,
大安區,房地(土地+建物),臺北市大安區安和路一段３３號九樓,20.95,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第肆之壹種住宅區)。,,,1101118,土地6建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.70999999999998,3,2,2,有,有,47700000,302454,,0.0,0,,RPWNMLTLJIGGFFA48DA,121.89,0.0,17.0,有,
北投區,房地(土地+建物),臺北市北投區行義路１４２之４號四樓,11.74,都市：其他:第二種住宅區。,,,1101114,土地2建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701120,73.33,2,2,1,有,有,9100000,124097,,0.0,0,,RPPNMLQKKIGGFEA37DA,51.24,0.0,5.64,有,
大安區,房地(土地+建物),臺北市大安區忠孝東路四段８７之９號,2.22,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第貳種商業區)。,,,1100908,土地2建物1車位0,一層,十五層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0770121,28.21,0,1,0,有,有,11880000,421127,,0.0,0,,RPPPMLPLIIGGFFA47DA,14.21,0.0,0.0,有,
大安區,房地(土地+建物),臺北市大安區金山南路二段１４８號二樓,18.18,都市：其他:第三之一種住宅區及第三種住宅區。,,,1100925,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0721214,131.37,3,2,2,有,有,38500000,293065,,0.0,0,陽台外推；,RPXOMLMLJIGGFFA97DA,98.05,0.0,17.59,有,
大安區,房地(土地+建物),臺北市大安區光復南路６９２巷３３號三樓,28.0,商,,,1100928,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0620109,83.26,3,2,1,有,無,18600000,223397,,0.0,0,其他增建；,RPTOMLNLJIGGFFA67DA,83.26,0.0,0.0,無,
北投區,土地,豐年段二小段573-1地號,868.0,都市：其他:農業區。,,,1101105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,24380000,28088,,0.0,0,,RPPNMLSJKIGGFEA47DA,0.0,0.0,0.0,無,
北投區,房地(土地+建物)+車位,臺北市北投區致遠一路二段１１２巷１２號,34.45,都市：其他:第三種住宅區。,,,1101031,土地1建物1車位1,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831114,172.02,4,2,2,有,有,32500000,188932,升降平面,0.0,1800000,其他增建；,RPXPMLNJKIGGFEA97DA,47.71,68.07,0.0,有,
北投區,房地(土地+建物)+車位,臺北市北投區知行路２２８號六樓,35.43,都市：其他:第三種住宅區。,,,1101114,土地1建物1車位1,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001122,205.51,3,2,2,有,有,30680000,174093,坡道平面,40.78,2000000,,RPUOMLKKKIGGFEA37DA,97.11,2.35,13.33,有,
